Model Year,Brand Name,Model Name,Engine capacity,Spare key,Transmission,KM driven,Ownership,Fuel type,Imperfections,Repainted Parts
2017,Maruti,Swift VXI,1197,No,Manual,25847,2,Petrol,6,2
2016,Maruti,Baleno DELTA PETROL 1.2,1197,Yes,Manual,55511,2,Petrol,12,1
2020,Maruti,Swift VXI,1197,No,Manual,47110,1,Petrol,4,2
2022,Maruti,Ertiga VXI AT SHVS,1462,Yes,Automatic,35378,1,Petrol,2,3
2019,Maruti,Dzire VXI,1197,Yes,Manual,91856,1,Petrol,3,2
2014,Maruti,Alto 800 LXI,796,No,Manual,43780,1,Petrol,10,2
2020,Maruti,Swift VXI,1197,Yes,Manual,49583,1,Petrol,1,0
2018,Maruti,Dzire VXI AMT,1197,No,Automatic,86837,2,Petrol,4,6
2016,Maruti,Swift Dzire VXI,1197,Yes,Manual,58570,2,Petrol,10,3
2019,Maruti,S PRESSO VXI,998,Yes,Manual,50645,1,Petrol,0,0
2016,Maruti,Swift ZXI,1197,Yes,Manual,77053,1,Petrol,4,4
2023,Maruti,Alto K10 VXI PLUS AMT,998,No,Automatic,8023,1,Petrol,1,1
2022,Maruti,Alto LXI O,796,No,Manual,18317,1,Petrol,1,0
2019,Maruti,Baleno DELTA PETROL 1.2,1197,Yes,Manual,73984,1,Petrol,2,5
2014,Maruti,Swift Dzire VXI,1197,Yes,Manual,65612,1,Petrol,7,2
2017,Maruti,Swift VXI O,1197,Yes,Manual,81391,1,Petrol,3,1
2021,Maruti,Celerio ZXI PLUS AGS,998,Yes,Automatic,3760,2,Petrol,1,0
2017,Maruti,Dzire ZXI PLUS AMT,1197,Yes,Automatic,72891,2,Petrol,3,7
2023,Maruti,Celerio ZXI,998,Yes,Manual,10006,1,Petrol,0,0
2014,Maruti,Alto 800 LXI,796,Yes,Manual,57290,1,Petrol,0,0
2018,Maruti,IGNIS ALPHA 1.2,1197,Yes,Manual,35090,1,Petrol,4,2
2021,Maruti,S PRESSO VXI+,998,Yes,Manual,45232,1,Petrol,0,0
2018,Maruti,Celerio VXI (O),998,No,Manual,37192,2,Petrol,5,3
2023,Maruti,Alto K10 VXI PLUS AMT,998,Yes,Automatic,15262,1,Petrol,1,0
2020,Maruti,Alto VXI,796,No,Manual,32285,1,Petrol,6,3
2018,Maruti,Baleno ZETA PETROL 1.2,1197,Yes,Manual,60017,1,Petrol,3,3
2014,Maruti,Wagon R Stingray VXI,998,Yes,Manual,76934,2,Petrol,14,4
2022,Maruti,Ciaz DELTA 1.5 SHVS MT PETROL,1462,Yes,Manual,16453,1,Petrol,0,0
2017,Maruti,Celerio ZXI AMT,998,Yes,Automatic,72304,1,Petrol,0,0
2017,Maruti,Celerio ZXI (O),998,No,Manual,76079,1,Petrol,16,1
2023,Maruti,Alto VXI PLUS,796,No,Manual,29652,1,Petrol,2,2
2019,Maruti,Celerio ZXI,998,No,Manual,99910,2,Petrol,2,4
2018,Maruti,Baleno ZETA CVT PETROL 1.2,1197,Yes,Automatic,62129,1,Petrol,3,2
2018,Maruti,Celerio X ZXI AMT,998,Yes,Automatic,14268,1,Petrol,7,2
2018,Maruti,Swift VDI,1248,No,Manual,72273,2,Diesel,0,0
2017,Maruti,IGNIS ZETA 1.2,1197,Yes,Manual,52488,1,Petrol,1,3
2019,Maruti,Baleno ZETA CVT PETROL 1.2,1197,Yes,Automatic,86198,1,Petrol,20,7
2016,Maruti,Swift Dzire VXI,1197,Yes,Manual,107226,3,Petrol,0,0
2012,Maruti,Wagon R 1.0 LXI,998,Yes,Manual,61391,2,Petrol,3,8
2018,Maruti,Swift ZXI AMT,1197,Yes,Automatic,106179,2,Petrol,20,4
2017,Maruti,Vitara Brezza ZDI,1248,Yes,Manual,111621,2,Diesel,14,5
2018,Maruti,Swift VXI,1197,No,Manual,74858,1,Petrol,0,0
2021,Maruti,Dzire VXI,1197,Yes,Manual,60706,1,Petrol,3,0
2017,Maruti,Swift VXI,1197,No,Manual,69042,2,Petrol,22,8
2011,Maruti,Alto K10 VXI,998,Yes,Manual,34213,1,Petrol,11,3
2015,Maruti,Swift Dzire VDI ABS,1248,Yes,Manual,89450,2,Diesel,5,4
